Year,Name,Cat,Start_date,End_date
2001,DEAN,TS,2001-08-22T12,2001-08-29T12
2001,ERIN,Cat2,2001-09-01T18,2001-09-17T00
2001,FELIX,Cat2,2001-09-07T18,2001-09-19T00
2001,GABRIELLE,TS,2001-09-11T18,2001-09-21T18
2001,HUMBERTO,Cat1,2001-09-21T12,2001-09-27T18
2001,IRIS,Cat3,2001-10-04T12,2001-10-09T12
2001,JERRY,TS,2001-10-06T12,2001-10-08T18
2001,KAREN,TS,2001-10-11T06,2001-10-15T18
2001,LORENZO,TD,2001-10-27T12,2001-10-31T06
2001,MICHELLE,Cat3,2001-10-29T18,2001-11-06T18
2001,NOEL,TS,2001-11-04T00,2001-11-06T18
2001,OLGA,Cat1,2001-11-23T06,2001-12-04T18
2002,ARTHUR,TS,2002-07-14T18,2002-07-19T12
2002,BERTHA,TD,2002-08-04T18,2002-08-09T12
2002,CRISTOBAL,TS,2002-08-05T18,2002-08-08T18
2002,DOLLY,TS,2002-08-29T12,2002-09-04T18
2002,EDOUARD,TS,2002-09-01T18,2002-09-06T12
2002,FAY,TS,2002-09-05T18,2002-09-11T00
2002,GUSTAV,Cat1,2002-09-08T12,2002-09-15T00
2002,HANNA,TS,2002-09-12T00,2002-09-15T12
2002,ISIDORE,Cat2,2002-09-14T18,2002-09-27T18
2002,JOSEPHINE,TS,2002-09-17T12,2002-09-19T12
2002,KYLE,Cat1,2002-09-20T18,2002-10-12T12
2002,LILI,Cat3,2002-09-21T18,2002-10-04T12
2003,ANA,TS,2003-04-18T00,2003-04-27T12
2003,BILL,TS,2003-06-28T06,2003-07-03T00
2003,CLAUDETTE,Cat1,2003-07-07T00,2003-07-17T12
2003,DANNY,TS,2003-07-16T12,2003-07-27T06
2003,ERIKA,TS,2003-08-14T18,2003-08-17T00
2003,FABIAN,Cat3,2003-08-27T18,2003-09-09T18
2003,GRACE,TD,2003-08-30T12,2003-09-02T06
2003,HENRI,TS,2003-09-03T18,2003-09-08T18
2003,ISABEL,Cat4,2003-09-06T00,2003-09-20T00
2003,JUAN,Cat1,2003-09-24T12,2003-09-29T12
2003,KATE,Cat2,2003-09-25T18,2003-10-10T00
2003,LARRY,TS,2003-09-27T18,2003-10-07T18
2003,MINDY,TS,2003-10-10T18,2003-10-14T00
2003,NICHOLAS,TS,2003-10-13T00,2003-11-01T18
2003,ODETTE,TS,2003-12-04T12,2003-12-09T18
2003,PETER,TS,2003-12-07T18,2003-12-11T06
2004,ALEX,Cat2,2004-07-31T18,2004-08-06T18
2004,BONNIE,TS,2004-08-03T12,2004-08-14T00
2004,CHARLEY,Cat4,2004-08-09T12,2004-08-15T12
2004,DANIELLE,Cat1,2004-08-13T12,2004-08-24T18
2004,EARL,TS,2004-08-13T18,2004-08-15T18
2004,FRANCES,Cat3,2004-08-25T00,2004-09-10T18
2004,GASTON,TS,2004-08-27T12,2004-09-03T00
2004,HERMINE,TS,2004-08-27T18,2004-08-31T12
2004,IVAN,Cat4,2004-09-02T18,2004-09-24T06
2004,JEANNE,Cat2,2004-09-13T18,2004-09-29T12
2004,KARL,Cat3,2004-09-16T06,2004-09-28T00
2004,LISA,TS,2004-09-19T18,2004-10-03T06
2004,MATTHEW,TS,2004-10-08T12,2004-10-11T06
2004,NICOLE,TS,2004-10-10T00,2004-10-11T18
2004,OTTO,TS,2004-11-26T00,2004-12-05T12
2005,ARLENE,TS,2005-06-08T18,2005-06-14T06
2005,BRET,TD,2005-06-28T18,2005-06-30T00
2005,CINDY,TS,2005-07-03T18,2005-07-11T06
2005,DENNIS,Cat4,2005-07-04T18,2005-07-18T06
2005,EMILY,Cat4,2005-07-11T00,2005-07-21T12
2005,FRANKLIN,TS,2005-07-21T18,2005-07-31T00
2005,GERT,TS,2005-07-23T18,2005-07-25T18
2005,HARVEY,TS,2005-08-02T18,2005-08-14T00
2005,IRENE,Cat1,2005-08-04T18,2005-08-18T12
2005,TEN,TD,2005-08-13T12,2005-08-18T12
2005,JOSE,TS,2005-08-22T12,2005-08-23T12
2005,KATRINA,Cat4,2005-08-23T18,2005-08-31T06
2005,LEE,TD,2005-08-28T12,2005-09-03T18
2005,MARIA,Cat2,2005-09-01T12,2005-09-14T00
2005,NATE,Cat1,2005-09-05T18,2005-09-12T18
2005,OPHELIA,Cat1,2005-09-06T06,2005-09-23T00
2005,PHILIPPE,TS,2005-09-17T12,2005-09-24T06
2005,RITA,Cat4,2005-09-18T00,2005-09-26T06
2005,NINETEEN,TD,2005-09-30T12,2005-10-02T12
2005,STAN,TS,2005-10-01T12,2005-10-05T06
2005,TAMMY,TS,2005-10-05T06,2005-10-07T00
2005,TWENTY-TWO,TS,2005-10-08T06,2005-10-14T18
2005,VINCE,TS,2005-10-08T06,2005-10-11T12
2005,WILMA,Cat5,2005-10-15T18,2005-10-26T18
2005,ALPHA,TS,2005-10-22T12,2005-10-24T18
2005,BETA,Cat2,2005-10-26T18,2005-10-31T00
2005,GAMMA,TS,2005-11-14T00,2005-11-22T00
2005,DELTA,TS,2005-11-19T12,2005-11-29T18
2005,EPSILON,Cat1,2005-11-29T06,2005-12-09T18
2005,ZETA,TS,2005-12-30T00,2006-01-07T18
